user_type,authenticated,effective_roles,effective_modules,feature_id,platform,platform_treatment,discover,view,create,edit,delete,archive,deactivate,import,export,submit,validate,approve,reject,assign,publish,report,administer
visitor,false,,,operations.inventory,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,operations.inventory,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,operations.marketplace-orders,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,operations.marketplace-orders,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,operations.equipment-bookings,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,operations.equipment-bookings,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.payments,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.payments,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.account-report-builder,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.account-report-builder,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.esteban-report,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.esteban-report,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.david-report,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,finance.david-report,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.course-registrations,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,admin.course-registrations,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
